Game Number,Score,Tiles Closed,Rolls,Moves
364,24,5,"[(1, 5), (6, 1), (3, 5), (6, 1)]","[(1, 2, 3), (7,), (8,)]"
365,31,4,"[(2, 5), (4, 3), (4, 3)]","[(1, 2, 4), (7,)]"
366,20,6,"[(4, 3), (6, 4), (3, 5), (3, 5)]","[(1, 2, 4), (3, 7), (8,)]"
367,36,3,"[(3, 6), (2, 4)]","[(1, 2, 6)]"
368,22,6,"[(1, 4), (4, 3), (5, 6), (6, 4)]","[(1, 4), (2, 5), (3, 8)]"
369,40,2,"[(1, 4), (1, 3)]","[(1, 4)]"
370,19,6,"[(5, 3), (5, 3), (5, 5), (4, 3)]","[(1, 2, 5), (8,), (3, 7)]"
371,29,5,"[(3, 6), (5, 2), (2, 4)]","[(1, 2, 6), (3, 4)]"
372,17,7,"[(5, 3), (3, 1), (3, 6), (4, 3), (5, 1)]","[(1, 2, 5), (4,), (3, 6), (7,)]"
373,11,7,"[(5, 1), (6, 1), (2, 2), (4, 5), (2, 6), (1, 2)]","[(1, 2, 3), (7,), (4,), (9,), (8,)]"
374,18,6,"[(1, 6), (3, 2), (3, 5), (4, 3), (3, 2)]","[(1, 2, 4), (5,), (8,), (7,)]"
375,18,6,"[(2, 2), (3, 5), (5, 2), (2, 6), (6, 4)]","[(1, 3), (2, 6), (7,), (8,)]"
